eid,9-s2.0-11142095200,affiliation,Centre de recherches archéologiques de Tours,affiliationCity,Tours,affiliationCountry,France 
eid,9-s2.0-13007447900,affiliation,Indiana University Bloomington,affiliationCity,Bloomington,affiliationCountry,United States 
eid,9-s2.0-14051468600,affiliation,Valparaiso University,affiliationCity,Valparaiso,affiliationCountry,United States 
eid,9-s2.0-14052553200,affiliation,Indiana University Bloomington,affiliationCity,Bloomington,affiliationCountry,United States 
eid,9-s2.0-15520305300,affiliation,New York University,affiliationCity,New York,affiliationCountry,United States 
eid,9-s2.0-16069027200,affiliation,Université Paris Nanterre,affiliationCity,Nanterre,affiliationCountry,France 
eid,9-s2.0-23024259400,affiliation,The University of North Carolina at Chapel Hill,affiliationCity,Chapel Hill,affiliationCountry,United States 
eid,9-s2.0-23981852000,affiliation,Texas A and M University,affiliationCity,College Station,affiliationCountry,United States 
eid,9-s2.0-24478560600,affiliation,The British Museum,affiliationCity,London,affiliationCountry,United Kingdom 
eid,9-s2.0-24502678700,affiliation,Texas A and M University,affiliationCity,College Station,affiliationCountry,United States 
eid,9-s2.0-25650819200,affiliation,University of Cincinnati,affiliationCity,Cincinnati,affiliationCountry,United States 
eid,9-s2.0-26033055400,affiliation,Ministère de la Culture et de la Communication,affiliationCity,Perigueux,affiliationCountry,France 
eid,9-s2.0-27868031400,affiliation,University of Rhode Island,affiliationCity,Kingston,affiliationCountry,United States 
eid,9-s2.0-28067567900,affiliation,Harvard Divinity School,affiliationCity,Cambridge,affiliationCountry,United States 
eid,9-s2.0-35175051000,affiliation,University of Toledo,affiliationCity,Toledo,affiliationCountry,United States 
eid,9-s2.0-35768853600,affiliation,University of Vermont,affiliationCity,Burlington,affiliationCountry,United States 
eid,9-s2.0-36619439000,affiliation,University of Oklahoma,affiliationCity,Norman,affiliationCountry,United States 
eid,9-s2.0-36619771000,affiliation,Kennesaw State University’s Horace W. Sturgis,affiliationCity,Library,affiliationCountry,Georgia 
eid,9-s2.0-36619780500,affiliation,University of Oklahoma,affiliationCity,Norman,affiliationCountry,United States 
eid,9-s2.0-36661176200,affiliation,Université Fédérale Toulouse Midi-Pyrénées,affiliationCity,Toulouse,affiliationCountry,France 
eid,9-s2.0-54913102900,affiliation,Georgetown University,affiliationCity,Washington,affiliationCountry,United States 
eid,9-s2.0-55014393700,affiliation,Université Paris Nanterre,affiliationCity,Nanterre,affiliationCountry,France 
eid,9-s2.0-55086174300,affiliation,Université Fédérale Toulouse Midi-Pyrénées,affiliationCity,Toulouse,affiliationCountry,France 
eid,9-s2.0-55417552700,affiliation,Stony Brook University,affiliationCity,Stony Brook,affiliationCountry,United States 
eid,9-s2.0-55666463300,affiliation,University of Houston,affiliationCity,Houston,affiliationCountry,United States 
eid,9-s2.0-56295758800,affiliation,North Carolina State University,affiliationCity,Raleigh,affiliationCountry,United States 
eid,9-s2.0-56375022000,affiliation,University of South Carolina,affiliationCity,Columbia,affiliationCountry,United States 
eid,9-s2.0-56375303900,affiliation,Austin College,affiliationCity,Sherman,affiliationCountry,United States 
eid,9-s2.0-56452422500,affiliation,"James Cook University, Australia",affiliationCity,Townsville,affiliationCountry,Australia 
eid,9-s2.0-56468464500,affiliation,University of Oklahoma,affiliationCity,Norman,affiliationCountry,United States  
eid,9-s2.0-56574763400,affiliation,Discovery Services Department,affiliationCity, null,affiliationCountry,United States 
eid,9-s2.0-56574787000,affiliation,Ferris State University,affiliationCity,Big Rapids,affiliationCountry,United States 
eid,9-s2.0-56574850000,affiliation,The University of North Carolina at Chapel Hill,affiliationCity,Chapel Hill,affiliationCountry,United States 
eid,9-s2.0-56575094700,affiliation,"University of California, Los Angeles",affiliationCity,Los Angeles,affiliationCountry,United States 
eid,9-s2.0-57100019900,affiliation,Valparaiso University,affiliationCity,Valparaiso,affiliationCountry,United States 
eid,9-s2.0-57144150400,affiliation,Indiana University,affiliationCity,Bloomington,affiliationCountry,United States 
eid,9-s2.0-57190225314,affiliation,Indiana University Bloomington,affiliationCity,Bloomington,affiliationCountry,United States 
eid,9-s2.0-57191858435,affiliation,Edwardsburg,affiliationCity, null,affiliationCountry,United States 
eid,9-s2.0-57193027851,affiliation,University of Oxford,affiliationCity,Oxford,affiliationCountry,United Kingdom 
eid,9-s2.0-57194143147,affiliation,Boston College,affiliationCity,Chestnut Hill,affiliationCountry,United States 
eid,9-s2.0-57198319561,affiliation,University of Oklahoma,affiliationCity,Norman,affiliationCountry,United States 
eid,9-s2.0-57203878667,affiliation,University of Toledo,affiliationCity,Toledo,affiliationCountry,United States 
eid,9-s2.0-57203943343,affiliation,Purdue University Fort Wayne,affiliationCity,Fort Wayne,affiliationCountry,United States 
eid,9-s2.0-57207994700,affiliation,Valparaiso University,affiliationCity,Valparaiso,affiliationCountry,United States 
eid,9-s2.0-57212587069,affiliation,University of Cincinnati,affiliationCity,Cincinnati,affiliationCountry,United States 
eid,9-s2.0-6506645310,affiliation,"University of California, Los Angeles",affiliationCity,Los Angeles,affiliationCountry,United States 
eid,9-s2.0-6507660926,affiliation,"De la Préhistoire à l'Actuel , Culture, Environnement et Anthropologie",affiliationCity,Pessac,affiliationCountry,France 
eid,9-s2.0-6507685271,affiliation,Museum National d'Histoire Naturelle,affiliationCity,Paris,affiliationCountry,France 
eid,9-s2.0-6508118160,affiliation,Texas A&amp;M University,affiliationCity,College Station,affiliationCountry,United States 
eid,9-s2.0-6602531058,affiliation,Commissariat a L'Energie Atomique CEA,affiliationCity,Gif-sur-Yvette,affiliationCountry,France 
eid,9-s2.0-6602891881,affiliation,Universite de Versailles Saint-Quentin-en-Yvelines,affiliationCity,Versailles,affiliationCountry,France 
eid,9-s2.0-6603471413,affiliation,"CEA, Institut LIST",affiliationCity,Palaiseau,affiliationCountry,France 
eid,9-s2.0-6603869812,affiliation,Indiana University-Purdue University Indianapolis,affiliationCity,Indianapolis,affiliationCountry,United States 
eid,9-s2.0-7003799879,affiliation,University of Oxford,affiliationCity,Oxford,affiliationCountry,United Kingdom 
eid,9-s2.0-7004899709,affiliation,Laboratoire des Sciences du Climat et de l'Environnement,affiliationCity,Gif-sur-Yvette,affiliationCountry,France 
eid,9-s2.0-7005081914,affiliation,Wheaton College - Illinois,affiliationCity,Wheaton,affiliationCountry,United States 
eid,9-s2.0-7005858985,affiliation,National Library of Medicine,affiliationCity,Bethesda,affiliationCountry,United States 
eid,9-s2.0-7102142818,affiliation,Universität Tübingen,affiliationCity,Tubingen,affiliationCountry,Germany 
eid,9-s2.0-8397743500,affiliation,Université de Bordeaux,affiliationCity,Bordeaux,affiliationCountry,France 
eid,9-s2.0-8982800200,affiliation,Indiana University Bloomington,affiliationCity,Bloomington,affiliationCountry,United States 
